X;Y;Det1;Det1_err;Det2;Det2_err;Coinc;Coinc_err;Ratio1;Ratio2
1;-6;4972;70,51241026;6352;79,69943538;4651;68,19824045;0,782745592;1,277554304
1;-7;5059;71,12664761;6995;83,6361166;4859;69,70652767;0,723230879;1,382684325
1;-8;4470;66,8580586;7067;84,06545069;4376;66,15134163;0,632517334;1,58098434
1;-9;3194;56,5154846;5949;77,12976079;3156;56,17828762;0,536896957;1,86255479
1;-10;2924;54,07402334;6347;79,66806135;2897;53,82378656;0,46069009;2,170656635
1;-11;2704;52;6876;82,92164977;2682;51,7880295;0,393251891;2,542899408
1;-12;3061;55,32630477;6463;80,39278575;2964;54,44263036;0,473619062;2,111401503

3;11;2795;52,86775955;2602;51,00980298;2184;46,73328578;1,074173713;0,930948122
3;11;2795;52,86775955;2602;51,00980298;2184;46,73328578;1,074173713;0,930948122
3;9;6628;81,41252975;5161;71,84010022;4861;69,72087205;1,284247239;0,778666264
3;9;6628;81,41252975;5161;71,84010022;4861;69,72087205;1,284247239;0,778666264
3;7;6146;78,39642849;5120;71,55417528;4727;68,75318174;1,200390625;0,833062154
3;7;6146;78,39642849;5120;71,55417528;4727;68,75318174;1,200390625;0,833062154
3;5;5779;76,01973428;4955;70,39176088;4424;66,51315659;1,16629667;0,857414778
3;5;5779;76,01973428;4955;70,39176088;4424;66,51315659;1,16629667;0,857414778
3;3;5298;72,78736154;4746;68,8912186;4172;64,59102105;1,11630847;0,89580974
3;3;5298;72,78736154;4746;68,8912186;4172;64,59102105;1,11630847;0,89580974
3;1;5197;72,09022125;4917;70,12132343;4260;65,26867549;1,056945292;0,946122763
3;1;5197;72,09022125;4917;70,12132343;4260;65,26867549;1,056945292;0,946122763
3;0;5060;71,13367698;4867;69,76388751;4128;64,24951362;1,039654818;0,961857708
3;-1;5023;70,87312608;4947;70,33491309;4169;64,56779383;1,015362846;0,9848696
3;-1;5023;70,87312608;4947;70,33491309;4169;64,56779383;1,015362846;0,9848696
3;-3;5028;70,9083916;5120;71,55417528;4224;64,99230724;0,98203125;1,018297534
3;-3;5028;70,9083916;5120;71,55417528;4224;64,99230724;0,98203125;1,018297534
3;-5;5078;71,26008701;5574;74,65922582;4492;67,02238432;0,911015429;1,09767625
3;-5;5078;71,26008701;5574;74,65922582;4492;67,02238432;0,911015429;1,09767625
3;-7;5370;73,28028384;6173;78,5684415;4871;69,79254975;0,869917382;1,149534451
3;-7;5370;73,28028384;6173;78,5684415;4871;69,79254975;0,869917382;1,149534451
3;-9;4800;69,2820323;5637;75,07995738;4400;66,33249581;0,851516764;1,174375
3;-9;4800;69,2820323;5637;75,07995738;4400;66,33249581;0,851516764;1,174375
3;-11;2170;46,5832588;2143;46,292548;1744;41,76122604;1,01259916;0,987557604
3;-11;2170;46,5832588;2143;46,292548;1744;41,76122604;1,01259916;0,987557604

5;9;3040;55,13619501;2777;52,69724851;2343;48,40454524;1,094706518;0,913486842
5;9;3040;55,13619501;2777;52,69724851;2343;48,40454524;1,094706518;0,913486842
5;9;3040;55,13619501;2777;52,69724851;2343;48,40454524;1,094706518;0,913486842
5;7;4625;68,00735254;3938;62,75348596;3555;59,62382074;1,174454038;0,851459459
5;7;4625;68,00735254;3938;62,75348596;3555;59,62382074;1,174454038;0,851459459
5;7;4625;68,00735254;3938;62,75348596;3555;59,62382074;1,174454038;0,851459459
5;5;4541;67,38694236;3832;61,90315016;3431;58,57473858;1,185020877;0,84386699
5;5;4541;67,38694236;3832;61,90315016;3431;58,57473858;1,185020877;0,84386699
5;3;4401;66,34003316;3891;62,3778807;3408;58,37807808;1,131071704;0,884117246
5;3;4401;66,34003316;3891;62,3778807;3408;58,37807808;1,131071704;0,884117246
5;1;4098;64,01562309;3772;61,41661013;3241;56,92978131;1,086426299;0,920449
5;1;4098;64,01562309;3772;61,41661013;3241;56,92978131;1,086426299;0,920449
5;0;4119;64,17943596;3876;62,25752967;3220;56,74504384;1,062693498;0,941005098
5;-1;3947;62,8251542;3857;62,10475022;3246;56,97367813;1,023334198;0,977197872
